"Auftragskonto";"Buchungstag";"Valutadatum";"Buchungstext";"Verwendungszweck";"Glaeubiger ID";"Mandatsreferenz";"Kundenreferenz (End-to-End)";"Sammlerreferenz";"Lastschrift Ursprungsbetrag";"Auslagenersatz Ruecklastschrift";"Beguenstigter/Zahlungspflichtiger";"Kontonummer/IBAN";"BIC (SWIFT-Code)";"Betrag";"Waehrung";"Info"
"DE12500500000123456789";"04.02.25";"04.02.25";"KARTENZAHLUNG";"2025-02-04T18:10 Debitk.1 2028-12";"";"";"NOTPROVIDED";"";"";"";"ALDI SUED";"";"";"-16,79";"EUR";"Umsatz gebucht"
"DE12500500000123456789";"05.02.25";"05.02.25";"FOLGELASTSCHRIFT";"Abschlag Strom Kd 4711 02/2025";"DE00ZZZ00000STADTW";"SW-4711";"NOTPROVIDED";"";"";"";"Stadtwerke Musterstadt";"DE00300000000000000003";"";"-65,00";"EUR";"Umsatz gebucht"
"DE12500500000123456789";"06.02.25";"06.02.25";"FOLGELASTSCHRIFT";"Telekom Rechnung Festnetz";"DE00ZZZ00000TELEKOM";"TK-1";"NOTPROVIDED";"";"";"";"Telekom Deutschland GmbH";"DE00300000000000000004";"";"-39,95";"EUR";"Umsatz gebucht"
"DE12500500000123456789";"09.02.25";"09.02.25";"FOLGELASTSCHRIFT";"1043812 PP.2211.PP . Spotify, Ihr Einkauf bei Spotify";"LU96ZZZ0000000000000000058";"PAYPAL-1";"NOTPROVIDED";"";"";"";"PayPal Europe S.a.r.l. et Cie S.C.A";"LU00000000000000000005";"";"-10,99";"EUR";"Umsatz gebucht"
"DE12500500000123456789";"09.02.25";"09.02.25";"KARTENZAHLUNG";"2025-02-09T18:10 Debitk.1 2028-12";"";"";"NOTPROVIDED";"";"";"";"REWE Markt GmbH";"";"";"-44,92";"EUR";"Umsatz gebucht"
"DE12500500000123456789";"13.02.25";"13.02.25";"BARGELDAUSZAHLUNG";"GA NR00001234 BLZ50050000";"";"";"NOTPROVIDED";"";"";"";"Sparkasse Musterstadt";"";"";"-50,00";"EUR";"Umsatz gebucht"
"DE12500500000123456789";"14.02.25";"14.02.25";"KARTENZAHLUNG";"2025-02-14T18:10 Debitk.1 2028-12";"";"";"NOTPROVIDED";"";"";"";"dm-drogerie markt";"";"";"-67,81";"EUR";"Umsatz gebucht"
"DE12500500000123456789";"19.02.25";"19.02.25";"KARTENZAHLUNG";"2025-02-19T18:10 Debitk.1 2028-12";"";"";"NOTPROVIDED";"";"";"";"EDEKA Center";"";"";"-46,63";"EUR";"Umsatz gebucht"
"DE12500500000123456789";"19.02.25";"19.02.25";"KARTENZAHLUNG";"DB Vertrieb Online Ticket";"";"";"NOTPROVIDED";"";"";"";"DB Vertrieb GmbH";"";"";"-23,56";"EUR";"Umsatz gebucht"
"DE12500500000123456789";"24.02.25";"24.02.25";"KARTENZAHLUNG";"2025-02-24T18:10 Debitk.1 2028-12";"";"";"NOTPROVIDED";"";"";"";"REWE Markt GmbH";"";"";"-11,69";"EUR";"Umsatz gebucht"
"DE12500500000123456789";"28.02.25";"28.02.25";"ABSCHLUSS";"Entgelt Kontofuehrung";"";"";"NOTPROVIDED";"";"";"";"";"";"";"-5,90";"EUR";"Umsatz gebucht"
"DE12500500000123456789";"28.02.25";"28.02.25";"LOHN/GEHALT";"LOHN/GEHALT 02/2025 Personalnr 123";"";"";"NOTPROVIDED";"";"";"";"Muster GmbH";"DE00300000000000000006";"";"2100,00";"EUR";"Umsatz gebucht"
"DE12500500000123456789";"02.03.25";"02.03.25";"FOLGELASTSCHRIFT";"Einzahlung Trade Republic 2025-03";"DE00ZZZ00000TRADE01";"TR-MANDATE-1";"NOTPROVIDED";"";"";"";"Trade Republic Bank GmbH";"DE00100123450000000001";"";"-500,00";"EUR";"Umsatz gebucht"
"DE12500500000123456789";"03.03.25";"03.03.25";"DAUERAUFTRAG";"Miete Wohnung 3.OG links";"";"";"NOTPROVIDED";"";"";"";"Hausverwaltung Beispiel";"DE00300000000000000002";"";"-650,00";"EUR";"Umsatz gebucht"
"DE12500500000123456789";"04.03.25";"04.03.25";"KARTENZAHLUNG";"2025-03-04T18:10 Debitk.1 2028-12";"";"";"NOTPROVIDED";"";"";"";"EDEKA Center";"";"";"-45,18";"EUR";"Umsatz gebucht"
"DE12500500000123456789";"05.03.25";"05.03.25";"FOLGELASTSCHRIFT";"Abschlag Strom Kd 4711 03/2025";"DE00ZZZ00000STADTW";"SW-4711";"NOTPROVIDED";"";"";"";"Stadtwerke Musterstadt";"DE00300000000000000003";"";"-65,00";"EUR";"Umsatz gebucht"
"DE12500500000123456789";"06.03.25";"06.03.25";"FOLGELASTSCHRIFT";"Telekom Rechnung Festnetz";"DE00ZZZ00000TELEKOM";"TK-1";"NOTPROVIDED";"";"";"";"Telekom Deutschland GmbH";"DE00300000000000000004";"";"-39,95";"EUR";"Umsatz gebucht"
"DE12500500000123456789";"09.03.25";"09.03.25";"FOLGELASTSCHRIFT";"1043812 PP.2211.PP . Spotify, Ihr Einkauf bei Spotify";"LU96ZZZ0000000000000000058";"PAYPAL-1";"NOTPROVIDED";"";"";"";"PayPal Europe S.a.r.l. et Cie S.C.A";"LU00000000000000000005";"";"-10,99";"EUR";"Umsatz gebucht"
"DE12500500000123456789";"09.03.25";"09.03.25";"KARTENZAHLUNG";"2025-03-09T18:10 Debitk.1 2028-12";"";"";"NOTPROVIDED";"";"";"";"dm-drogerie markt";"";"";"-28,23";"EUR";"Umsatz gebucht"
"DE12500500000123456789";"13.03.25";"13.03.25";"BARGELDAUSZAHLUNG";"GA NR00001234 BLZ50050000";"";"";"NOTPROVIDED";"";"";"";"Sparkasse Musterstadt";"";"";"-50,00";"EUR";"Umsatz gebucht"
"DE12500500000123456789";"14.03.25";"14.03.25";"KARTENZAHLUNG";"2025-03-14T18:10 Debitk.1 2028-12";"";"";"NOTPROVIDED";"";"";"";"EDEKA Center";"";"";"-40,19";"EUR";"Umsatz gebucht"
"DE12500500000123456789";"19.03.25";"19.03.25";"KARTENZAHLUNG";"2025-03-19T18:10 Debitk.1 2028-12";"";"";"NOTPROVIDED";"";"";"";"ALDI SUED";"";"";"-38,99";"EUR";"Umsatz gebucht"
"DE12500500000123456789";"24.03.25";"24.03.25";"KARTENZAHLUNG";"2025-03-24T18:10 Debitk.1 2028-12";"";"";"NOTPROVIDED";"";"";"";"REWE Markt GmbH";"";"";"-36,35";"EUR";"Umsatz gebucht"
"DE12500500000123456789";"28.03.25";"28.03.25";"ABSCHLUSS";"Entgelt Kontofuehrung";"";"";"NOTPROVIDED";"";"";"";"";"";"";"-5,90";"EUR";"Umsatz gebucht"
"DE12500500000123456789";"28.03.25";"28.03.25";"LOHN/GEHALT";"LOHN/GEHALT 03/2025 Personalnr 123";"";"";"NOTPROVIDED";"";"";"";"Muster GmbH";"DE00300000000000000006";"";"2100,00";"EUR";"Umsatz gebucht"
"DE12500500000123456789";"02.04.25";"02.04.25";"FOLGELASTSCHRIFT";"Einzahlung Trade Republic 2025-04";"DE00ZZZ00000TRADE01";"TR-MANDATE-1";"NOTPROVIDED";"";"";"";"Trade Republic Bank GmbH";"DE00100123450000000001";"";"-500,00";"EUR";"Umsatz gebucht"
"DE12500500000123456789";"03.04.25";"03.04.25";"DAUERAUFTRAG";"Miete Wohnung 3.OG links";"";"";"NOTPROVIDED";"";"";"";"Hausverwaltung Beispiel";"DE00300000000000000002";"";"-650,00";"EUR";"Umsatz gebucht"
"DE12500500000123456789";"04.04.25";"04.04.25";"KARTENZAHLUNG";"2025-04-04T18:10 Debitk.1 2028-12";"";"";"NOTPROVIDED";"";"";"";"ALDI SUED";"";"";"-33,22";"EUR";"Umsatz gebucht"
"DE12500500000123456789";"05.04.25";"05.04.25";"FOLGELASTSCHRIFT";"Abschlag Strom Kd 4711 04/2025";"DE00ZZZ00000STADTW";"SW-4711";"NOTPROVIDED";"";"";"";"Stadtwerke Musterstadt";"DE00300000000000000003";"";"-65,00";"EUR";"Umsatz gebucht"
"DE12500500000123456789";"06.04.25";"06.04.25";"FOLGELASTSCHRIFT";"Telekom Rechnung Festnetz";"DE00ZZZ00000TELEKOM";"TK-1";"NOTPROVIDED";"";"";"";"Telekom Deutschland GmbH";"DE00300000000000000004";"";"-39,95";"EUR";"Umsatz gebucht"
"DE12500500000123456789";"09.04.25";"09.04.25";"FOLGELASTSCHRIFT";"1043812 PP.2211.PP . Spotify, Ihr Einkauf bei Spotify";"LU96ZZZ0000000000000000058";"PAYPAL-1";"NOTPROVIDED";"";"";"";"PayPal Europe S.a.r.l. et Cie S.C.A";"LU00000000000000000005";"";"-10,99";"EUR";"Umsatz gebucht"
"DE12500500000123456789";"09.04.25";"09.04.25";"KARTENZAHLUNG";"2025-04-09T18:10 Debitk.1 2028-12";"";"";"NOTPROVIDED";"";"";"";"REWE Markt GmbH";"";"";"-51,88";"EUR";"Umsatz gebucht"
"DE12500500000123456789";"13.04.25";"13.04.25";"BARGELDAUSZAHLUNG";"GA NR00001234 BLZ50050000";"";"";"NOTPROVIDED";"";"";"";"Sparkasse Musterstadt";"";"";"-50,00";"EUR";"Umsatz gebucht"
"DE12500500000123456789";"14.04.25";"14.04.25";"KARTENZAHLUNG";"2025-04-14T18:10 Debitk.1 2028-12";"";"";"NOTPROVIDED";"";"";"";"ALDI SUED";"";"";"-55,00";"EUR";"Umsatz gebucht"
"DE12500500000123456789";"15.04.25";"15.04.25";"FOLGELASTSCHRIFT";"Beitrag Haftpflicht Vertrag 99";"DE00ZZZ00000HUK";"HUK-99";"NOTPROVIDED";"";"";"";"HUK-COBURG Versicherung";"DE00300000000000000007";"";"-120,00";"EUR";"Umsatz gebucht"
"DE12500500000123456789";"19.04.25";"19.04.25";"KARTENZAHLUNG";"2025-04-19T18:10 Debitk.1 2028-12";"";"";"NOTPROVIDED";"";"";"";"ALDI SUED";"";"";"-9,84";"EUR";"Umsatz gebucht"
"DE12500500000123456789";"19.04.25";"19.04.25";"KARTENZAHLUNG";"DB Vertrieb Online Ticket";"";"";"NOTPROVIDED";"";"";"";"DB Vertrieb GmbH";"";"";"-53,10";"EUR";"Umsatz gebucht"
"DE12500500000123456789";"24.04.25";"24.04.25";"KARTENZAHLUNG";"2025-04-24T18:10 Debitk.1 2028-12";"";"";"NOTPROVIDED";"";"";"";"REWE Markt GmbH";"";"";"-32,82";"EUR";"Umsatz gebucht"
"DE12500500000123456789";"28.04.25";"28.04.25";"ABSCHLUSS";"Entgelt Kontofuehrung";"";"";"NOTPROVIDED";"";"";"";"";"";"";"-5,90";"EUR";"Umsatz gebucht"
"DE12500500000123456789";"28.04.25";"28.04.25";"LOHN/GEHALT";"LOHN/GEHALT 04/2025 Personalnr 123";"";"";"NOTPROVIDED";"";"";"";"Muster GmbH";"DE00300000000000000006";"";"2100,00";"EUR";"Umsatz gebucht"
"DE12500500000123456789";"02.05.25";"02.05.25";"FOLGELASTSCHRIFT";"Einzahlung Trade Republic 2025-05";"DE00ZZZ00000TRADE01";"TR-MANDATE-1";"NOTPROVIDED";"";"";"";"Trade Republic Bank GmbH";"DE00100123450000000001";"";"-500,00";"EUR";"Umsatz gebucht"
"DE12500500000123456789";"03.05.25";"03.05.25";"DAUERAUFTRAG";"Miete Wohnung 3.OG links";"";"";"NOTPROVIDED";"";"";"";"Hausverwaltung Beispiel";"DE00300000000000000002";"";"-650,00";"EUR";"Umsatz gebucht"
"DE12500500000123456789";"04.05.25";"04.05.25";"KARTENZAHLUNG";"2025-05-04T18:10 Debitk.1 2028-12";"";"";"NOTPROVIDED";"";"";"";"dm-drogerie markt";"";"";"-12,14";"EUR";"Umsatz gebucht"
"DE12500500000123456789";"05.05.25";"05.05.25";"FOLGELASTSCHRIFT";"Abschlag Strom Kd 4711 05/2025";"DE00ZZZ00000STADTW";"SW-4711";"NOTPROVIDED";"";"";"";"Stadtwerke Musterstadt";"DE00300000000000000003";"";"-65,00";"EUR";"Umsatz gebucht"
"DE12500500000123456789";"06.05.25";"06.05.25";"FOLGELASTSCHRIFT";"Telekom Rechnung Festnetz";"DE00ZZZ00000TELEKOM";"TK-1";"NOTPROVIDED";"";"";"";"Telekom Deutschland GmbH";"DE00300000000000000004";"";"-39,95";"EUR";"Umsatz gebucht"
"DE12500500000123456789";"09.05.25";"09.05.25";"FOLGELASTSCHRIFT";"1043812 PP.2211.PP . Spotify, Ihr Einkauf bei Spotify";"LU96ZZZ0000000000000000058";"PAYPAL-1";"NOTPROVIDED";"";"";"";"PayPal Europe S.a.r.l. et Cie S.C.A";"LU00000000000000000005";"";"-10,99";"EUR";"Umsatz gebucht"
"DE12500500000123456789";"09.05.25";"09.05.25";"KARTENZAHLUNG";"2025-05-09T18:10 Debitk.1 2028-12";"";"";"NOTPROVIDED";"";"";"";"REWE Markt GmbH";"";"";"-60,53";"EUR";"Umsatz gebucht"
"DE12500500000123456789";"13.05.25";"13.05.25";"BARGELDAUSZAHLUNG";"GA NR00001234 BLZ50050000";"";"";"NOTPROVIDED";"";"";"";"Sparkasse Musterstadt";"";"";"-50,00";"EUR";"Umsatz gebucht"
"DE12500500000123456789";"14.05.25";"14.05.25";"KARTENZAHLUNG";"2025-05-14T18:10 Debitk.1 2028-12";"";"";"NOTPROVIDED";"";"";"";"REWE Markt GmbH";"";"";"-21,24";"EUR";"Umsatz gebucht"
"DE12500500000123456789";"19.05.25";"19.05.25";"KARTENZAHLUNG";"2025-05-19T18:10 Debitk.1 2028-12";"";"";"NOTPROVIDED";"";"";"";"REWE Markt GmbH";"";"";"-37,14";"EUR";"Umsatz gebucht"
"DE12500500000123456789";"24.05.25";"24.05.25";"KARTENZAHLUNG";"2025-05-24T18:10 Debitk.1 2028-12";"";"";"NOTPROVIDED";"";"";"";"dm-drogerie markt";"";"";"-34,03";"EUR";"Umsatz gebucht"
"DE12500500000123456789";"28.05.25";"28.05.25";"ABSCHLUSS";"Entgelt Kontofuehrung";"";"";"NOTPROVIDED";"";"";"";"";"";"";"-5,90";"EUR";"Umsatz gebucht"
"DE12500500000123456789";"28.05.25";"28.05.25";"LOHN/GEHALT";"LOHN/GEHALT 05/2025 Personalnr 123";"";"";"NOTPROVIDED";"";"";"";"Muster GmbH";"DE00300000000000000006";"";"2100,00";"EUR";"Umsatz gebucht"
"DE12500500000123456789";"02.06.25";"02.06.25";"FOLGELASTSCHRIFT";"Einzahlung Trade Republic 2025-06";"DE00ZZZ00000TRADE01";"TR-MANDATE-1";"NOTPROVIDED";"";"";"";"Trade Republic Bank GmbH";"DE00100123450000000001";"";"-500,00";"EUR";"Umsatz gebucht"
"DE12500500000123456789";"03.06.25";"03.06.25";"DAUERAUFTRAG";"Miete Wohnung 3.OG links";"";"";"NOTPROVIDED";"";"";"";"Hausverwaltung Beispiel";"DE00300000000000000002";"";"-650,00";"EUR";"Umsatz gebucht"
"DE12500500000123456789";"04.06.25";"04.06.25";"KARTENZAHLUNG";"2025-06-04T18:10 Debitk.1 2028-12";"";"";"NOTPROVIDED";"";"";"";"EDEKA Center";"";"";"-56,27";"EUR";"Umsatz gebucht"
"DE12500500000123456789";"05.06.25";"05.06.25";"FOLGELASTSCHRIFT";"Abschlag Strom Kd 4711 06/2025";"DE00ZZZ00000STADTW";"SW-4711";"NOTPROVIDED";"";"";"";"Stadtwerke Musterstadt";"DE00300000000000000003";"";"-65,00";"EUR";"Umsatz gebucht"
"DE12500500000123456789";"06.06.25";"06.06.25";"FOLGELASTSCHRIFT";"Telekom Rechnung Festnetz";"DE00ZZZ00000TELEKOM";"TK-1";"NOTPROVIDED";"";"";"";"Telekom Deutschland GmbH";"DE00300000000000000004";"";"-39,95";"EUR";"Umsatz gebucht"
"DE12500500000123456789";"09.06.25";"09.06.25";"FOLGELASTSCHRIFT";"1043812 PP.2211.PP . Spotify, Ihr Einkauf bei Spotify";"LU96ZZZ0000000000000000058";"PAYPAL-1";"NOTPROVIDED";"";"";"";"PayPal Europe S.a.r.l. et Cie S.C.A";"LU00000000000000000005";"";"-10,99";"EUR";"Umsatz gebucht"
"DE12500500000123456789";"09.06.25";"09.06.25";"KARTENZAHLUNG";"2025-06-09T18:10 Debitk.1 2028-12";"";"";"NOTPROVIDED";"";"";"";"ALDI SUED";"";"";"-28,89";"EUR";"Umsatz gebucht"
"DE12500500000123456789";"13.06.25";"13.06.25";"BARGELDAUSZAHLUNG";"GA NR00001234 BLZ50050000";"";"";"NOTPROVIDED";"";"";"";"Sparkasse Musterstadt";"";"";"-50,00";"EUR";"Umsatz gebucht"
"DE12500500000123456789";"14.06.25";"14.06.25";"KARTENZAHLUNG";"2025-06-14T18:10 Debitk.1 2028-12";"";"";"NOTPROVIDED";"";"";"";"ALDI SUED";"";"";"-28,62";"EUR";"Umsatz gebucht"
"DE12500500000123456789";"19.06.25";"19.06.25";"KARTENZAHLUNG";"2025-06-19T18:10 Debitk.1 2028-12";"";"";"NOTPROVIDED";"";"";"";"dm-drogerie markt";"";"";"-55,00";"EUR";"Umsatz gebucht"
"DE12500500000123456789";"19.06.25";"19.06.25";"KARTENZAHLUNG";"DB Vertrieb Online Ticket";"";"";"NOTPROVIDED";"";"";"";"DB Vertrieb GmbH";"";"";"-46,82";"EUR";"Umsatz gebucht"
"DE12500500000123456789";"24.06.25";"24.06.25";"KARTENZAHLUNG";"2025-06-24T18:10 Debitk.1 2028-12";"";"";"NOTPROVIDED";"";"";"";"REWE Markt GmbH";"";"";"-16,34";"EUR";"Umsatz gebucht"
"DE12500500000123456789";"28.06.25";"28.06.25";"ABSCHLUSS";"Entgelt Kontofuehrung";"";"";"NOTPROVIDED";"";"";"";"";"";"";"-5,90";"EUR";"Umsatz gebucht"
"DE12500500000123456789";"28.06.25";"28.06.25";"LOHN/GEHALT";"LOHN/GEHALT 06/2025 Personalnr 123";"";"";"NOTPROVIDED";"";"";"";"Muster GmbH";"DE00300000000000000006";"";"2100,00";"EUR";"Umsatz gebucht"
"DE12500500000123456789";"02.07.25";"02.07.25";"FOLGELASTSCHRIFT";"Einzahlung Trade Republic 2025-07";"DE00ZZZ00000TRADE01";"TR-MANDATE-1";"NOTPROVIDED";"";"";"";"Trade Republic Bank GmbH";"DE00100123450000000001";"";"-500,00";"EUR";"Umsatz gebucht"
"DE12500500000123456789";"03.07.25";"03.07.25";"DAUERAUFTRAG";"Miete Wohnung 3.OG links";"";"";"NOTPROVIDED";"";"";"";"Hausverwaltung Beispiel";"DE00300000000000000002";"";"-650,00";"EUR";"Umsatz gebucht"
"DE12500500000123456789";"04.07.25";"04.07.25";"KARTENZAHLUNG";"2025-07-04T18:10 Debitk.1 2028-12";"";"";"NOTPROVIDED";"";"";"";"REWE Markt GmbH";"";"";"-11,71";"EUR";"Umsatz gebucht"
"DE12500500000123456789";"05.07.25";"05.07.25";"FOLGELASTSCHRIFT";"Abschlag Strom Kd 4711 07/2025";"DE00ZZZ00000STADTW";"SW-4711";"NOTPROVIDED";"";"";"";"Stadtwerke Musterstadt";"DE00300000000000000003";"";"-65,00";"EUR";"Umsatz gebucht"
"DE12500500000123456789";"06.07.25";"06.07.25";"FOLGELASTSCHRIFT";"Telekom Rechnung Festnetz";"DE00ZZZ00000TELEKOM";"TK-1";"NOTPROVIDED";"";"";"";"Telekom Deutschland GmbH";"DE00300000000000000004";"";"-39,95";"EUR";"Umsatz gebucht"
"DE12500500000123456789";"09.07.25";"09.07.25";"FOLGELASTSCHRIFT";"1043812 PP.2211.PP . Spotify, Ihr Einkauf bei Spotify";"LU96ZZZ0000000000000000058";"PAYPAL-1";"NOTPROVIDED";"";"";"";"PayPal Europe S.a.r.l. et Cie S.C.A";"LU00000000000000000005";"";"-10,99";"EUR";"Umsatz gebucht"
"DE12500500000123456789";"09.07.25";"09.07.25";"KARTENZAHLUNG";"2025-07-09T18:10 Debitk.1 2028-12";"";"";"NOTPROVIDED";"";"";"";"dm-drogerie markt";"";"";"-19,02";"EUR";"Umsatz gebucht"
"DE12500500000123456789";"13.07.25";"13.07.25";"BARGELDAUSZAHLUNG";"GA NR00001234 BLZ50050000";"";"";"NOTPROVIDED";"";"";"";"Sparkasse Musterstadt";"";"";"-50,00";"EUR";"Umsatz gebucht"
"DE12500500000123456789";"14.07.25";"14.07.25";"KARTENZAHLUNG";"2025-07-14T18:10 Debitk.1 2028-12";"";"";"NOTPROVIDED";"";"";"";"EDEKA Center";"";"";"-35,74";"EUR";"Umsatz gebucht"
"DE12500500000123456789";"15.07.25";"15.07.25";"FOLGELASTSCHRIFT";"Beitrag Haftpflicht Vertrag 99";"DE00ZZZ00000HUK";"HUK-99";"NOTPROVIDED";"";"";"";"HUK-COBURG Versicherung";"DE00300000000000000007";"";"-120,00";"EUR";"Umsatz gebucht"
"DE12500500000123456789";"19.07.25";"19.07.25";"KARTENZAHLUNG";"2025-07-19T18:10 Debitk.1 2028-12";"";"";"NOTPROVIDED";"";"";"";"EDEKA Center";"";"";"-69,09";"EUR";"Umsatz gebucht"
"DE12500500000123456789";"24.07.25";"24.07.25";"KARTENZAHLUNG";"2025-07-24T18:10 Debitk.1 2028-12";"";"";"NOTPROVIDED";"";"";"";"EDEKA Center";"";"";"-33,99";"EUR";"Umsatz gebucht"
"DE12500500000123456789";"28.07.25";"28.07.25";"ABSCHLUSS";"Entgelt Kontofuehrung";"";"";"NOTPROVIDED";"";"";"";"";"";"";"-5,90";"EUR";"Umsatz gebucht"
"DE12500500000123456789";"28.07.25";"28.07.25";"LOHN/GEHALT";"LOHN/GEHALT 07/2025 Personalnr 123";"";"";"NOTPROVIDED";"";"";"";"Muster GmbH";"DE00300000000000000006";"";"2100,00";"EUR";"Umsatz gebucht"
"DE12500500000123456789";"02.08.25";"02.08.25";"FOLGELASTSCHRIFT";"Einzahlung Trade Republic 2025-08";"DE00ZZZ00000TRADE01";"TR-MANDATE-1";"NOTPROVIDED";"";"";"";"Trade Republic Bank GmbH";"DE00100123450000000001";"";"-500,00";"EUR";"Umsatz gebucht"
"DE12500500000123456789";"03.08.25";"03.08.25";"DAUERAUFTRAG";"Miete Wohnung 3.OG links";"";"";"NOTPROVIDED";"";"";"";"Hausverwaltung Beispiel";"DE00300000000000000002";"";"-650,00";"EUR";"Umsatz gebucht"
"DE12500500000123456789";"04.08.25";"04.08.25";"KARTENZAHLUNG";"2025-08-04T18:10 Debitk.1 2028-12";"";"";"NOTPROVIDED";"";"";"";"dm-drogerie markt";"";"";"-15,22";"EUR";"Umsatz gebucht"
"DE12500500000123456789";"05.08.25";"05.08.25";"FOLGELASTSCHRIFT";"Abschlag Strom Kd 4711 08/2025";"DE00ZZZ00000STADTW";"SW-4711";"NOTPROVIDED";"";"";"";"Stadtwerke Musterstadt";"DE00300000000000000003";"";"-65,00";"EUR";"Umsatz gebucht"
"DE12500500000123456789";"06.08.25";"06.08.25";"FOLGELASTSCHRIFT";"Telekom Rechnung Festnetz";"DE00ZZZ00000TELEKOM";"TK-1";"NOTPROVIDED";"";"";"";"Telekom Deutschland GmbH";"DE00300000000000000004";"";"-39,95";"EUR";"Umsatz gebucht"
